occurrence_id,value,bin,procedure,local_role,context
1,0,behavioral,setup,setup::ticks-in-selective-passage,set ticks-in-selective-passage 0
2,0,behavioral,setup,setup::ticks-in-contested-reopening,set ticks-in-contested-reopening 0
3,0,behavioral,setup,setup::ticks-in-partial-closure,set ticks-in-partial-closure 0
4,0.15,behavioral,setup-parameters,setup-parameters::military-degradation,set military-degradation 0.15
5,0,behavioral,setup-parameters,setup-parameters::us-casualties,set us-casualties 0
6,0,behavioral,setup-parameters,setup-parameters::regional-strike-volume,set regional-strike-volume 0
7,0,behavioral,setup-parameters,setup-parameters::proxy-attack-level,set proxy-attack-level 0
8,0,behavioral,setup-parameters,setup-parameters::physical-throughput,set physical-throughput 0
9,0.35,behavioral,setup-parameters,setup-parameters::commercial-throughput,set commercial-throughput 0.35
10,0.45,behavioral,setup-parameters,setup-parameters::navigational-reliability,set navigational-reliability 0.45
11,0.35,behavioral,setup-parameters,setup-parameters::permission-factor,set permission-factor 0.35
12,0.30,behavioral,setup-parameters,setup-parameters::insurance-availability,set insurance-availability 0.30
13,0.75,behavioral,setup-parameters,setup-parameters::operator-caution,set operator-caution 0.75
14,0.70,behavioral,setup-parameters,setup-parameters::port-operability,set port-operability 0.70
15,0.55,behavioral,setup-parameters,setup-parameters::anchorage-risk,set anchorage-risk 0.55
16,0.45,behavioral,setup-parameters,setup-parameters::gnss-reliability,set gnss-reliability 0.45
17,0.45,behavioral,setup-parameters,setup-parameters::recovery-factor,set recovery-factor 0.45
18,0,behavioral,setup-parameters,setup-parameters::strait-throughput,set strait-throughput 0
19,70,behavioral,setup-parameters,setup-parameters::brent-crude-price,set brent-crude-price 70
20,0,behavioral,setup-parameters,setup-parameters::market-panic-index,set market-panic-index 0
21,7,behavioral,setup-parameters,setup-parameters::deadline-remaining,set deadline-remaining 7
22,0,behavioral,setup-parameters,setup-parameters::equilibrium-pain-streak,set equilibrium-pain-streak 0
23,0,behavioral,setup-parameters,setup-parameters::cascade-streak,set cascade-streak 0
24,0,behavioral,setup-parameters,setup-parameters::ceasefire-stability-streak,set ceasefire-stability-streak 0
25,0,behavioral,setup-parameters,setup-parameters::partial-closure-streak,set partial-closure-streak 0
26,0,behavioral,setup-parameters,setup-parameters::selective-passage-streak,set selective-passage-streak 0
27,0,behavioral,setup-parameters,setup-parameters::contested-reopening-streak,set contested-reopening-streak 0
28,0,behavioral,setup-parameters,setup-parameters::cumulative-oil-burden,set cumulative-oil-burden 0
29,0,behavioral,setup-parameters,setup-parameters::low-throughput-days,set low-throughput-days 0
30,0,behavioral,setup-parameters,setup-parameters::recent-iran-escalation-streak,set recent-iran-escalation-streak 0
31,0,behavioral,setup-parameters,setup-parameters::diplomatic-momentum,set diplomatic-momentum 0
32,0,behavioral,setup-parameters,setup-parameters::misperception-count,set misperception-count 0
33,-1,behavioral,setup-parameters,setup-parameters::resolution-tick,set resolution-tick -1
34,0.20,behavioral,setup-parameters,setup-parameters::disruption-prior,set disruption-prior 0.20
35,0.55,behavioral,setup-parameters,setup-parameters::disruption-posterior,set disruption-posterior 0.55
36,0.20,behavioral,setup-parameters,setup-parameters::awrp-baseline,set awrp-baseline 0.20
37,0.55,behavioral,setup-parameters,setup-parameters::awrp,set awrp 0.55
38,0.55,behavioral,setup-parameters,setup-parameters::awrp-peak,set awrp-peak 0.55
39,70,behavioral,setup-parameters,setup-parameters::oil-fundamental-price,set oil-fundamental-price 70
40,0,behavioral,setup-parameters,setup-parameters::oil-risk-premium,set oil-risk-premium 0
